Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Pause-café : Le cloud computing,"Vous entendez beaucoup parler du cloud et vous aimeriez rapidement comprendre ce que c'est ? Grâce à ces 4 vidéos, découvrez en seulement 15 minutes les notions clés du cloud telles que le stockage et la sécurité, ainsi que les différences entre cloud public et cloud privé.<br><br>
 
Ces 4 vidéos sont extraites des formations suivantes :<br>
- <a href=""https://www.linkedin.com/learning/decouvrir-microsoft-azure-2"">Découvrir Microsoft Azure</a><br>
- <a href=""https://www.linkedin.com/learning/decouvrir-le-cloud-computing-les-plateformes-cloud-privees"">Découvrir le cloud computing : Les plateformes cloud privées</a><br>
- <a href=""https://www.linkedin.com/learning/decouvrir-le-cloud-computing-le-stockage"">Découvrir le cloud computing : Le stockage</a> <br>
- <a href=""https://www.linkedin.com/learning/decouvrir-le-cloud-computing-la-securite"">Découvrir le cloud computing : La sécurité</a>",Course,2020-10-29 21:47 UTC,N/A,false,N/A,
SQL Practice: Intermediate Queries,"Looking to boost your skills writing queries in SQL? This course was made for you. Join senior LinkedIn Learning staff instructor Scott Simpson in this hands-on, interactive, skills-first coding course designed uniquely for intermediate SQL developers. Explore techniques for writing queries in SQL to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Scott helps you develop your skills as a SQL programmer with five specific, query-focused coding challenges. Practice finding your top customers, listing items in each order, sorting orders by day, seasonal sales, and vendor integration.",Course,2025-10-16 21:45 UTC,N/A,false,N/A,
Agile au travail : Planifier avec des user stories agiles		,"Les équipes de projets agiles créent des user stories courtes pour planifier le travail à faire dans les sprints à venir. Dans cette formation, Doug Rose, expert en agilité, vous explique comment rédiger vos user stories et comment les prioriser dans votre backlog. Il vous montre également les principaux écueils à éviter dans la planification de vos projets agiles.",Course,2021-07-28 12:44 UTC,N/A,false,N/A,
L'essentiel de SQL,"Dans cette formation exhaustive de Rudi Bruchez, vous découvrirez le langage SQL de gestion de bases de données relationnelles. Après un rappel des notions de base et des explications concernant ce type de bases de données, vous vous plongerez sans tarder dans les notions pratiques de requête et de travail avec les tables, de recherche, de regroupement et de modification de données, ainsi que dans l'emploi des sous-requêtes. À la fin de chaque chapitre, vous aurez l'occasion de mettre en pratique les connaissances acquises grâce à des exercices.",Course,2023-02-26 08:58 UTC,N/A,false,N/A,
La sécurité informatique et cybersécurité : Niveau avancé,"En tant que responsable de la sécurité ou DSI, vous devez mettre en place une politique de cybersécurité pour répondre aux menaces qui pèsent sur votre informatique. Pour cela, Pierre Cabantous vous propose de faire un tour de la cybersécurité en entreprise. Dans ce cours, vous étudierez la démarche d'un pirate, avant et après l'intrusion dans un système, à la suite de l'exploitation d'une vulnérabilité. Vous verrez comment gérer ces vulnérabilités par rapport à un niveau de risque que vous apprendrez à calculer. Vous aborderez aussi une des principales menaces encourues aujourd'hui par tout service accessible en ligne : les attaques par déni de service. Puis vous découvrirez comment protéger votre organisation aux niveaux technique et organisationnel, en suivant des bonnes pratiques, des process ainsi que des normes européennes comme le RGPD.</br></br>
Une nouvelle formation est maintenant disponible : <a href=""https://www.linkedin.com/learning/la-securite-informatique-et-cybersecurite-dans-les-organisations-26958324"" target=""_blank"">La sécurité informatique et cybersécurité dans les organisations</a>",Course,2023-02-16 09:32 UTC,N/A,false,N/A,
Créer un planning avec Excel (Microsoft 365/Office 365),"Et si vous vous lanciez dans la création d'un planning avec Excel, le tableur de Microsoft ? Avec cette formation de Martial Auroy, vous suivrez, pas-à-pas et avec des exemples concrets, les différentes étapes de conception, à commencer par la structure même du planning. Vous verrez comment établir et saisir des listes de tâches et calculer des durées et des dates en tenant compte de différents facteurs comme les jours fériés. Puis, vous établirez le calendrier et vous apprendrez à afficher des informations pertinentes comme le numéro de semaine, les jours, les week-ends et autres. Enfin, vous vous lancerez également dans l'élaboration d'un diagramme de Gantt.",Course,2021-06-02 08:23 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-01-15 07:36 UTC,N/A,false,N/A,
L'essentiel de Navisworks,"Vous souhaitez visualiser correctement vos maquettes en détail ? Vous en avez assez de découvrir sur un chantier que vous avez oublié de prévoir une réservation ? Vous constatez un conflit entre les gaines et le plafond ? Si vous avez déjà rêvé de construire votre projet virtuellement et en temps réel, découvrez ce cours sur Navisworks. Lamia Neeka, architecte BIM manager, vous donne les clés pour réussir la modélisation et la simulation de vos maquettes. Vous verrez comment tirer parti des fonctionnalités du logiciel, manipuler les commandes, effectuer des visites virtuelles et créer des animations. Vous apprendrez aussi à traiter la détection de conflits et à intégrer vos tâches de planning dans votre maquette.",Course,2021-04-24 17:20 UTC,N/A,false,N/A,
Créer des API RESTful,"Facilitez la création et l'intégration de logiciels d'applications à l'aide des API RESTful, ou API REST. Découvrez ce cours qui va vous permettre de développer simplement ces interfaces de programmation pour vos applications web. Christophe Gigax, MVP Microsoft et architecte logiciel, vous fait part des bonnes pratiques à mettre en place, des pratiques de documentation et de testing automatique ainsi que de ses recommandations pour concevoir efficacement des API RESTful (API Representational State Transfer).",Course,2022-03-13 13:43 UTC,N/A,false,N/A,
La transformation numérique : L'enjeu du big data,"Vous vous demandez ce qui se cache derrière les termes de transformation numérique ou digitale, de machine learning et de big data ? Franck Bardol vous aide à mieux comprendre ces termes, cités sans relâche dans l'actualité des entreprises. Tout au long de cette formation, vous étudierez dans le détail les stratégies à mettre en place pour réussir votre transformation digitale. Chaque outil et chaque point clé seront accompagnés d'exemples concrets des business B2B et B2C. Ainsi, vous pourrez imaginer des produits ou services plus innovants dans le but de révolutionner votre modèle d'affaires.",Course,2020-10-28 14:55 UTC,N/A,false,N/A,
