Event Name,Event Time,Status,External Url
🏅 Cérémonie Power BI Challenge Francophone 2025,"Jul 08, 2025 05:00 PM - Jul 08, 2025 06:00 PM",APPROVED,
AI for Energy transition,"Apr 22, 2021 04:30 PM - Apr 22, 2021 05:30 PM",RELINQUISHED,
Masterclass STORYSELLING ,"Oct 09, 2025 07:00 PM - Oct 09, 2025 08:00 PM",APPROVED,
Lancement Saison 12 Data For Good,"Feb 03, 2024 01:00 PM - Feb 03, 2024 02:00 PM",RELINQUISHED,
FINDYOURWAY x MANOMANO - évènement Networking,"Dec 07, 2020 03:00 PM - Dec 07, 2020 05:00 PM",APPROVED,
📞 La hotline du management #3,"Jan 23, 2026 11:30 AM - Jan 23, 2026 12:30 PM",RELINQUISHED,
Masterclass Power Query GRATUITE : Automatisez Excel & Power BI,"Jun 17, 2025 05:00 PM - Jun 17, 2025 06:30 PM",APPROVED,https://event.webinarjam.com/register/77/r19gwtp9
Webinaire : la cyber-sécurité au quotidien,"Nov 04, 2025 11:00 AM - Nov 04, 2025 12:00 PM",RELINQUISHED,
FUTURS à Station F - samedi 2 octobre,"Oct 02, 2021 12:00 PM - Oct 02, 2021 04:00 PM",RELINQUISHED,https://www.helloasso.com/associations/les-etudiants-de-la-tech/evenements/futurs
🎓 PL-300 : Atelier Live pour Réussir la Certification,"Feb 11, 2026 06:00 PM - Feb 11, 2026 07:00 PM",RELINQUISHED,
Masterclass : Transforme tes Mots en €uros,"Jul 04, 2025 06:30 PM - Jul 04, 2025 07:00 PM",APPROVED,https://urls.fr/SZvGwC
Data & Analytics | E-Magazine: AI Insights for Enterprise Transformation,"Jan 09, 2024 03:00 PM - Jan 25, 2024 10:59 PM",RELINQUISHED,
Comment signer 5 à 10 Clients High Ticket CHAQUE mois en 2h/jour?,"Jan 22, 2026 11:00 AM - Jan 22, 2026 12:00 PM",APPROVED,
"AI in 2024: Data, Analytics, & AI Leaders on Generative AI | E-Magazine","Jan 30, 2024 03:00 PM - Feb 15, 2024 10:59 PM",RELINQUISHED,
Data Analyst : Arrêtez de courir après les mauvaises compétences ,"Jun 16, 2025 04:00 PM - Jun 16, 2025 05:00 PM",APPROVED,
Automatiser Excel avec Power Query,"Oct 27, 2025 06:00 PM - Oct 27, 2025 07:30 PM",APPROVED,
Prédictions 2026 : Quels profils IT vont exploser ?,"Oct 17, 2025 07:00 PM - Oct 17, 2025 08:00 PM",APPROVED,
Lancer son business d'agents IA rentable en 12 semaines [WORKSHOP EXCLUSIF],"Mar 03, 2026 11:30 AM - Mar 03, 2026 12:30 PM",RELINQUISHED,
Tire profit de LinkedIn,"Jul 10, 2025 04:30 PM - Jul 10, 2025 05:30 PM",APPROVED,
Transformez vos visuels en machine à conversion avec Canva Pro,"Nov 27, 2025 12:00 PM - Nov 27, 2025 01:00 PM",RELINQUISHED,
"Data, Analytics & AI | Expert Webinar | Applied AI, Agentic RAG & Workflows","Feb 18, 2026 10:00 AM - Feb 18, 2026 11:00 AM",RELINQUISHED,https://www.progress.com/campaigns/agentic-rag/stimulate-your-ai-strategy
